location,source,target,id,fuzzy,context,translator_comments,developer_comments
,"Soundscape can tell you about things around you as you approach them by calling out their name from the direction they are located in. The app will do this automatically for all sorts of things like businesses, bus stops, and even intersections. You can configure what the app automatically calls out in the *""Callouts""* section of the *""Settings""* screen, and you can turn all callouts off when you want the app to be silent.","Soundscape can tell you about things around you as you approach them by calling out their name from the direction they are located in. The app will do this automatically for all sorts of things like businesses, bus stops, and even intersections. You can configure what the app automatically calls out in the *""Callouts""* section of the *""Settings""* screen, and you can turn all callouts off when you want the app to be silent.",,False,help_text_automatic_callouts_what,,"' Notification, Information about what a callout is. Ensure that ""Manage Callouts"" is translated the same as `menu.manage_callouts`. Quotes written as \"" '"
,"**Exploring a new area :**

 Turn automatic callouts on and walk around to hear about all of the different stores, restaurants, and the like as you pass them.","**Exploring a new area :**

 Turn automatic callouts on and walk around to hear about all of the different stores, restaurants, and the like as you pass them.",,False,help_text_automatic_callouts_when_1,,"' Notification, Information on when you will hear callouts. '"
,"**Walking to a specific location :**

 When you are on your way to a particular location, automatic callouts for intersections can be particularly useful. Intersection callouts tell you about the layout of intersections as you approach them, and confirm the road you are on when you leave them.","**Walking to a specific location :**

 When you are on your way to a particular location, automatic callouts for intersections can be particularly useful. Intersection callouts tell you about the layout of intersections as you approach them, and confirm the road you are on when you leave them.",,False,help_text_automatic_callouts_when_2,,"' Notification, Information on when you will hear callouts continued. '"
,"**When you need silence :**

 When you are about to cross a road or just need the app to be quiet, you can turn callouts off. When callouts are off, the app will only tell you information if you manually tap one of the *""My Location""*, *""Nearby Markers""*, *""Around Me""*, or *""Ahead of Me""* buttons.","**When you need silence :**

 When you are about to cross a road or just need the app to be quiet, you can turn callouts off. When callouts are off, the app will only tell you information if you manually tap one of the *""My Location""*, *""Nearby Markers""*, *""Around Me""*, or *""Ahead of Me""* buttons.",,False,help_text_automatic_callouts_when_3,,"' Notification, Information on when you will hear callouts continued. Ensure that ""My Location"" is translated the same as `directions.my_location` and ""Nearby Markers"" is translated the same as `callouts.nearby_markers` and ""Around Me"" is translated the same as `help.orient.page_title` and ""Ahead of Me"" is translated the same as `help.explore.page_title`. Quotes written as \"" '"
,"**Turning callouts on or off :**

 Turning callouts off will silence the app. Callouts can be turned on or off in the *""Callouts""* section of the *""Settings""* screen where you can tap the *""Allow Callouts""* toggle to turn callouts on or off. You can also turn callouts on or off by using the *""skip forward""* command (double tap and hold) if your headphones have media control buttons. Alternatively, you can use the *""Sleep""* button in the upper right hand corner of the home screen to stop Soundscape from making callouts until you choose to wake it up again.","**Turning callouts on or off :**

 Turning callouts off will silence the app. Callouts can be turned on or off in the *""Callouts""* section of the *""Settings""* screen where you can tap the *""Allow Callouts""* toggle to turn callouts on or off. You can also turn callouts on or off by using the *""skip forward""* command (double tap and hold) if your headphones have media control buttons. Alternatively, you can use the *""Sleep""* button in the upper right hand corner of the home screen to stop Soundscape from making callouts until you choose to wake it up again.",,False,help_text_automatic_callouts_how_1,,"' Notification, Information how to turn on callouts. Ensure that ""Callouts"" is translated the same as `menu.manage_callouts` and ""Callouts Off"" is translated the same as `callouts.callouts_off` and ""Allow callouts"" is translated the same as `callouts.allow_callouts`. Quotes written as \"" '"
,"**Managing which callouts you hear :**

 To choose the types of things Soundscape will automatically callout, go to the *""Settings""* screen using the menu on the *""Home""* screen. The *""Callouts""* section of the *""Settings""* screen contains a list of types of things the app can callout. Each item has a toggle button that you can turn on or off. If you wish to turn off all callouts, tap the *""Allow Callouts""* toggle at the top of the list.","**Managing which callouts you hear :**

 To choose the types of things Soundscape will automatically callout, go to the *""Settings""* screen using the menu on the *""Home""* screen. The *""Callouts""* section of the *""Settings""* screen contains a list of types of things the app can callout. Each item has a toggle button that you can turn on or off. If you wish to turn off all callouts, tap the *""Allow Callouts""* toggle at the top of the list.",,False,help_text_automatic_callouts_how_2,,"' Notification, Information how to turn on callouts continued. Ensure that ""Callouts"" is translated the same as `menu.manage_callouts` and ""Allow callouts"" is translated the same as `callouts.allow_callouts`. Quotes written as \"" '"
,"The *""My Location""* button quickly gives you information that helps you figure out where you currently are. *""My Location""* tells you about your current location including things like the direction you are facing, where nearby roads or intersections are, and where nearby points of interest are.","The *""My Location""* button quickly gives you information that helps you figure out where you currently are. *""My Location""* tells you about your current location including things like the direction you are facing, where nearby roads or intersections are, and where nearby points of interest are.",,False,help_text_my_location_what,,"' Notification, Information about what My Location does. Ensure that ""My Location"" is translated the same as `directions.my_location`. Quotes written as \"" '"
,"*""My Location""* is useful when you need to figure out where you are or what cardinal direction you are facing.","*""My Location""* is useful when you need to figure out where you are or what cardinal direction you are facing.",,False,help_text_my_location_when,,"' Notification, Information on when you would need to use My Location. Ensure that ""My Location"" is translated the same as `directions.my_location`. Quotes written as \"" '"
,"As with all four of the buttons at the bottom of the home screen, hold your phone with the screen flat (facing towards the sky) and the top of the phone pointing in the direction you are facing before you press the *""My Location""* button. This acts like a compass telling the app which direction you are facing. Simply, tap the *""My Location""* button and listen.","As with all four of the buttons at the bottom of the home screen, hold your phone with the screen flat (facing towards the sky) and the top of the phone pointing in the direction you are facing before you press the *""My Location""* button. This acts like a compass telling the app which direction you are facing. Simply, tap the *""My Location""* button and listen.",,False,help_text_my_location_how,,"' Notification, Information how to use My Location. Ensure that ""My Location"" is translated the same as `directions.my_location`. Quotes written as \"" '"
,"The *""Nearby Markers""* button tells you about up to four markers that are closest to you. *""Nearby Markers""* is intended to help you orient yourself using places you already know about.","The *""Nearby Markers""* button tells you about up to four markers that are closest to you. *""Nearby Markers""* is intended to help you orient yourself using places you already know about.",,False,help_text_nearby_markers_what,,"' Notification, Information about what Nearby Markers does. Ensure that ""Nearby Markers"" is translated the same as `callouts.nearby_markers`. Quotes written as \"" '"
,"When you are trying to get your bearings and orient yourself to your surroundings, use *""Nearby Markers""* to hear about the locations of places you know of.","When you are trying to get your bearings and orient yourself to your surroundings, use *""Nearby Markers""* to hear about the locations of places you know of.",,False,help_text_nearby_markers_when,,"' Notification, Information about when to use Nearby Markers. Ensure that ""Nearby Markers"" is translated the same as `callouts.nearby_markers`. Quotes written as \"" '"
,"As with all four of the buttons at the bottom of the home screen, hold your phone with the screen flat (facing towards the sky) and the top of the phone pointing in the direction you are facing before you press the *""Nearby Markers""* button. This acts like a compass telling the app which direction you are facing. Simply, tap the *""Nearby Markers""* button and you will hear up to four markers near you.","As with all four of the buttons at the bottom of the home screen, hold your phone with the screen flat (facing towards the sky) and the top of the phone pointing in the direction you are facing before you press the *""Nearby Markers""* button. This acts like a compass telling the app which direction you are facing. Simply, tap the *""Nearby Markers""* button and you will hear up to four markers near you.",,False,help_text_nearby_markers_how,,"' Notification, Information about how to use Nearby Markers. Ensure that ""Nearby Markers"" is translated the same as `callouts.nearby_markers`. Quotes written as \"" '"
,"The *""Around Me""* button tells you about one thing in each of the four quadrants around you (ahead, to the right, behind, and to the left). *""Around Me""* is intended to help you orient yourself to your surroundings.","The *""Around Me""* button tells you about one thing in each of the four quadrants around you (ahead, to the right, behind, and to the left). *""Around Me""* is intended to help you orient yourself to your surroundings.",,False,help_text_around_me_what,,"' Notification, Information about what Around Me does. Ensure that ""Around Me"" is translated the same as `help.orient.page_title`. Quotes written as \"" '"
,"When you are trying to get your bearings and orient yourself to your surroundings, use *""Around Me""* to hear about the things around you.","When you are trying to get your bearings and orient yourself to your surroundings, use *""Around Me""* to hear about the things around you.",,False,help_text_around_me_when,,"' Notification, Information about when to use Around Me. Ensure that ""Around Me"" is translated the same as `help.orient.page_title`. Quotes written as \"" '"
,"As with all four of the buttons at the bottom of the home screen, hold your phone with the screen flat (facing towards the sky) and the top of the phone pointing in the direction you are facing before you press the *""Around Me""* button. This acts like a compass telling the app which direction you are facing. Simply, tap the *""Around Me""* button and you will hear four points of interest arranged around you.","As with all four of the buttons at the bottom of the home screen, hold your phone with the screen flat (facing towards the sky) and the top of the phone pointing in the direction you are facing before you press the *""Around Me""* button. This acts like a compass telling the app which direction you are facing. Simply, tap the *""Around Me""* button and you will hear four points of interest arranged around you.",,False,help_text_around_me_how,,"' Notification, Information about how to use Around Me. Ensure that ""Around Me"" is translated the same as `help.orient.page_title`. Quotes written as \"" '"
,"The *""Ahead of Me""* button tells you about four things ahead of you. *""Ahead of Me""* is intended to help you explore the way ahead of yourself when you are learning about a new area.","The *""Ahead of Me""* button tells you about four things ahead of you. *""Ahead of Me""* is intended to help you explore the way ahead of yourself when you are learning about a new area.",,False,help_text_ahead_of_me_what,,"' Notification, Information about what Ahead of Me does. Ensure that ""Ahead of Me"" is translated the same as `help.explore.page_title`. Quotes written as \"" '"
,"When you are walking down the street, try using *""Ahead of Me""* to discover the places and things coming up on either side of the street ahead.","When you are walking down the street, try using *""Ahead of Me""* to discover the places and things coming up on either side of the street ahead.",,False,help_text_ahead_of_me_when,,"' Notification, Information about when to use Ahead of Me. Ensure that ""Ahead of Me"" is translated the same as `help.explore.page_title`. Quotes written as \"" '"
,"As with all four of the buttons at the bottom of the home screen, hold your phone with the screen flat (facing towards the sky) and the top of the phone pointing in the direction you are facing before you press the *""Ahead of Me""* button. This acts like a compass telling the app which direction you are facing. Simply, tap the *""Ahead of Me""* button and you will hear several points of interest all roughly ahead of you.","As with all four of the buttons at the bottom of the home screen, hold your phone with the screen flat (facing towards the sky) and the top of the phone pointing in the direction you are facing before you press the *""Ahead of Me""* button. This acts like a compass telling the app which direction you are facing. Simply, tap the *""Ahead of Me""* button and you will hear several points of interest all roughly ahead of you.",,False,help_text_ahead_of_me_how,,"' Notification, Information about how to use Ahead of Me. Ensure that ""Ahead of Me"" is translated the same as `help.explore.page_title`. Quotes written as \"" '"
,"You can access certain features in Soundscape with the help of the media control buttons on your headphones. This functionality works with any wired or Bluetooth headphones that have media control buttons like Play, Pause, Next, Previous and others. Different headphones may include different buttons so please refer to the list of actions below to determine which ones are available to you.","You can access certain features in Soundscape with the help of the media control buttons on your headphones. This functionality works with any wired or Bluetooth headphones that have media control buttons like Play, Pause, Next, Previous and others. Different headphones may include different buttons so please refer to the list of actions below to determine which ones are available to you.",,False,help_text_remote_control_what,,"' Notification, Information about what headphone media controls do in Soundscape. Keep HTML tags. '"
,"Headphone media controls can be used while Soundscape is running. This is true whether you are currently in Soundscape or while Soundscape is in the background and even while your device is locked. Note however that headphone media control buttons will not work with Soundscape if you are playing audio like music, podcasts or videos with another app.","Headphone media controls can be used while Soundscape is running. This is true whether you are currently in Soundscape or while Soundscape is in the background and even while your device is locked. Note however that headphone media control buttons will not work with Soundscape if you are playing audio like music, podcasts or videos with another app.",,False,help_text_remote_control_when,,"' Notification, Information about when to use media controls on headphones. '"
,"You can access the following features in Soundscape using your the media control buttons on your headphones:

⏯ Play/Pause: Mute any current callouts and if the audio beacon is set, toggle the beacon audio. 

⏭ Next: Callout *""My Location""*.

⏮ Previous: Repeat last callout.

⏩ Skip Forward: Toggle callouts On and Off.

⏪ Skip Backward: Callout *""Around Me""*.","You can access the following features in Soundscape using your the media control buttons on your headphones:

⏯ Play/Pause: Mute any current callouts and if the audio beacon is set, toggle the beacon audio. 

⏭ Next: Callout *""My Location""*.

⏮ Previous: Repeat last callout.

⏩ Skip Forward: Toggle callouts On and Off.

⏪ Skip Backward: Callout *""Around Me""*.",,False,help_text_remote_control_how,,"' Notification, Information about how to use media controls on headphones. Ensure that ""My Location"" is translated the same as `directions.my_location` and ""Around Me"" is translated the same as `help.orient.page_title`. Quotes written as \"" '"
,"With Soundscape, you can mark your world and anything you care about, like pins in a map.","With Soundscape, you can mark your world and anything you care about, like pins in a map.",,False,help_text_markers_content_1,,"' Notification, Markers content '"
,"You can mark things that are personal and relevant to you like your home, your office and your preferred grocery store. You can mark any place or address, but you can also mark things that might traditionally not be available in maps, for example, entrances to buildings or parks, push-to-walk buttons, pedestrian crossings or bridges, bus stops or even your dog’s favorite tree and use these as references along your walk.","You can mark things that are personal and relevant to you like your home, your office and your preferred grocery store. You can mark any place or address, but you can also mark things that might traditionally not be available in maps, for example, entrances to buildings or parks, push-to-walk buttons, pedestrian crossings or bridges, bus stops or even your dog’s favorite tree and use these as references along your walk.",,False,help_text_markers_content_2,,"' Notification, Markers content continued '"
,"To experience marked places, Soundscape will automatically call out marked places as you walk by or approach them, or you can also use the Nearby markers button at the bottom of the Soundscape home screen to hear a spatial callout of marked places around you. In addition, you have the ability to set an audio beacon on any marked place. When you do this, the Soundscape audio beacon you are familiar with, will be heard and you can operate it as usual.","To experience marked places, Soundscape will automatically call out marked places as you walk by or approach them, or you can also use the Nearby markers button at the bottom of the Soundscape home screen to hear a spatial callout of marked places around you. In addition, you have the ability to set an audio beacon on any marked place. When you do this, the Soundscape audio beacon you are familiar with, will be heard and you can operate it as usual.",,False,help_text_markers_content_3,,"' Notification, Markers content continued '"
,"You can create markers in three ways: searching for the place you would like to save using the search bar, finding somewhere using the *""Places Nearby""* button, or using the *""Use Current Location""* button, all of which can be found on the Soundscape home screen. Once you have found the place you would like, selecting it will take you to the *""Location Details""* screen. On this screen, select the *""Save Marker""* button.","You can create markers in three ways: searching for the place you would like to save using the search bar, finding somewhere using the *""Places Nearby""* button, or using the *""Use Current Location""* button, all of which can be found on the Soundscape home screen. Once you have found the place you would like, selecting it will take you to the *""Location Details""* screen. On this screen, select the *""Save Marker""* button.",,False,help_text_creating_markers_content_1,,"' Notification, Creating Markers help content, Quotation marks are written as \"" '"
,"You will now have the option to customize this marker. You can change the name of the marker, and also add an annotation that will be called out along with the marker to provide some extra information. Once you are done, select the *""Done""* button to save your Marker.","You will now have the option to customize this marker. You can change the name of the marker, and also add an annotation that will be called out along with the marker to provide some extra information. Once you are done, select the *""Done""* button to save your Marker.",,False,help_text_creating_markers_content_2,,"' Notification, Creating Markers help content continued, Quotation marks are written as \"" '"
,"If you want to rename a marker you previously created, or add an annotation to it, then you can do so by selecting the marker from the *""Markers""* tab of the *""Markers and Routes""* page, then selecting the *""Edit Marker""* button. You can use this to give markers descriptive or useful nicknames, as well as giving them a longer description using the annotation field.","If you want to rename a marker you previously created, or add an annotation to it, then you can do so by selecting the marker from the *""Markers""* tab of the *""Markers and Routes""* page, then selecting the *""Edit Marker""* button. You can use this to give markers descriptive or useful nicknames, as well as giving them a longer description using the annotation field.",,False,help_text_customizing_markers_content_1,,"' Notification, Customizing Markers help content. ""Markers and Routes"" should be translated the same as the string with key 'search.view_markers'. Quotes written as \"" '"
,"From this *""Edit""* screen you can also delete a marker if you no longer need it.","From this *""Edit""* screen you can also delete a marker if you no longer need it.",,False,help_text_customizing_markers_content_2,,"' Notification, Customizing Markers help content continued '"
,"Routes are a series of waypoints. You will be informed on arrival to each waypoint, and the Audio Beacon will automatically advance to the next waypoint.","Routes are a series of waypoints. You will be informed on arrival to each waypoint, and the Audio Beacon will automatically advance to the next waypoint.",,False,help_text_routes_content_what,,"' Help content explaining what the ""routes"" feature is '"
,"You may want to create and use a route somewhere you know to make sure you keep on track, or you may want to use it as a tool to help familiarise yourself along a new journey.","You may want to create and use a route somewhere you know to make sure you keep on track, or you may want to use it as a tool to help familiarise yourself along a new journey.",,False,help_text_routes_content_when,,' Help content explaining when a user might choose to use the routes feature '
,"**Creating a route :**

 First, go to *""Markers and Routes""*, select the *""Routes""* tab, and then select the *""New Route""* button. Give the route a name and an optional description, then add waypoints as you go or pick them from your list of Markers. You can rearrange the order of the waypoints along a route at any time by editing the route.","**Creating a route :**

 First, go to *""Markers and Routes""*, select the *""Routes""* tab, and then select the *""New Route""* button. Give the route a name and an optional description, then add waypoints as you go or pick them from your list of Markers. You can rearrange the order of the waypoints along a route at any time by editing the route.",,False,help_text_routes_content_how_1,,"' Help content explaining how a user can create a route. Quotes written as \"" '"
,"**Editing a route :**

 Select your route on the *""Markers and Routes""* screen and then select *""Edit Route""*. From here you can add and remove waypoints, as well as editing the name and description of the route.","**Editing a route :**

 Select your route on the *""Markers and Routes""* screen and then select *""Edit Route""*. From here you can add and remove waypoints, as well as editing the name and description of the route.",,False,help_text_routes_content_how_2,,"' Help content explaining how a user can edit a route. Quotes written as \"" '"
,"**Sharing a route :**

 Select your route on the *""Markers and Routes""* screen and then select the option to *""Share""* using all of the usual share options available to you.","**Sharing a route :**

 Select your route on the *""Markers and Routes""* screen and then select the option to *""Share""* using all of the usual share options available to you.",,False,help_text_routes_content_how_3,,"' Help content explaining how a user can share a route. ""Share"" should be translated in the same way as it is for the key `share.title`. Quotes written as \"" '"
,Share,Share,,False,share_title,,' Title in menu of button to share the app with others '
,Frequently Asked Questions,Frequently Asked Questions,,False,faq_title,,' Title of the Frequently Asked Questions page '
,FAQ,FAQ,,False,faq_title_abbreviated,,"' Abbreviated title ""FAQ"" standing for ""Frequently Asked Questions"" '"
,Tips,Tips,,False,faq_tips_title,,"' Title of the ""Tips and Tricks"" section in the help content '"
,What is Soundscape and how should I use it?,What is Soundscape and how should I use it?,,False,faq_section_what_is_soundscape,,"' Soundscape - The app that explores the use of innovative audio-based technology to enable people, particularly those with blindness or low vision, to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around by using 3D audio cues to enrich ambient awareness and provide a new way to relate to the environment. '"
,When should I use Soundscape?,When should I use Soundscape?,,False,faq_when_to_use_soundscape_question,,"' Soundscape - The app that explores the use of innovative audio-based technology to enable people, particularly those with blindness or low vision, to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around by using 3D audio cues to enrich ambient awareness and provide a new way to relate to the environment. '"
,"Soundscape has features and benefits that span a variety of scenarios and time scales. Furthermore, Soundscape’s value to you may evolve over time so how you use it today may differ from how you will use it in three months. People often think about apps in terms of *""what problem is this app good at solving?""* Soundscape certainly can be used on a case by case basis when you have a specific information need – such as keeping track of a destination as you make your way there, helping to orient yourself when you emerge from a metro station, getting your bearings when exiting a car, or finding the street names for, or distance to, the next intersection. However, the philosophy behind Soundscape is one of *""lighting up your world with sound""*, designed to be used anytime you are out and about to provide ambient awareness of your surroundings, such as keeping you aware of the names of the streets you are on, the direction you are heading, and the names of businesses you are passing. In this use mode, our users have referred to Soundscape as a *""nice companion app""*, which supports *""serendipity""*, to *""fill in the gaps in your mental map""* and provide more *""confidence when walking""*. Here are some other examples of how our users are incorporating Soundscape into their life:

""Soundscape helped me get back on track after I got off the bus and headed off in the wrong direction.""

""Even in the town where I have lived for 3 years, I have built an improved picture of what is around me [with Soundscape].""

""The 3D sound enhances my experience of a walk, as I feel more connected to my environment…I am more likely to try a new route now that I have the app to use.""

""I miss the serendipity of walking around and noticing things. Having Soundscape is nice – it requires no effort to hear about things around me. The relational information is useful and is a great app for situational awareness and exploring commercial corridors.""

""[I used Soundscape] to locate a pub in the middle of York. [I] used a range of its options to first locate and then actually find it. It took me to within 3 meters of the door – brilliant!""","Soundscape has features and benefits that span a variety of scenarios and time scales. Furthermore, Soundscape’s value to you may evolve over time so how you use it today may differ from how you will use it in three months. People often think about apps in terms of *""what problem is this app good at solving?""* Soundscape certainly can be used on a case by case basis when you have a specific information need – such as keeping track of a destination as you make your way there, helping to orient yourself when you emerge from a metro station, getting your bearings when exiting a car, or finding the street names for, or distance to, the next intersection. However, the philosophy behind Soundscape is one of *""lighting up your world with sound""*, designed to be used anytime you are out and about to provide ambient awareness of your surroundings, such as keeping you aware of the names of the streets you are on, the direction you are heading, and the names of businesses you are passing. In this use mode, our users have referred to Soundscape as a *""nice companion app""*, which supports *""serendipity""*, to *""fill in the gaps in your mental map""* and provide more *""confidence when walking""*. Here are some other examples of how our users are incorporating Soundscape into their life:

""Soundscape helped me get back on track after I got off the bus and headed off in the wrong direction.""

""Even in the town where I have lived for 3 years, I have built an improved picture of what is around me [with Soundscape].""

""The 3D sound enhances my experience of a walk, as I feel more connected to my environment…I am more likely to try a new route now that I have the app to use.""

""I miss the serendipity of walking around and noticing things. Having Soundscape is nice – it requires no effort to hear about things around me. The relational information is useful and is a great app for situational awareness and exploring commercial corridors.""

""[I used Soundscape] to locate a pub in the middle of York. [I] used a range of its options to first locate and then actually find it. It took me to within 3 meters of the door – brilliant!""",,False,faq_when_to_use_soundscape_answer,,"' Soundscape - The app that explores the use of innovative audio-based technology to enable people, particularly those with blindness or low vision, to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around by using 3D audio cues to enrich ambient awareness and provide a new way to relate to the environment. ’Lighting up your way with sound’ is a marketing tagline for the app. Intersection - A junction where two or more roads meet or cross. 3D sound is where the audio through your headphones sounds as though it is coming from a given direction, as if it was actually coming from a speaker. Quotes written as \"" '"
,What are Markers and how do I get the most out of them?,What are Markers and how do I get the most out of them?,,False,faq_markers_function_question,,"' Marker - A location that has been marked as important by the user or application. This can be an address, a business or a custom place such as an entrance, a bus stop or a bench. '"
,"Markers are places that you have saved. They could be places that are discoverable within the app, or they could be entirely new places you have added yourself. You can save your current location as a marker by selecting the *""Use Current Location""* button on the home screen and then selecting *""Save as Marker""*. You can save other locations as a marker by searching for the place you would like to save using the search bar, or finding somewhere using the *""Places Nearby""* button, both of which can be found on the Soundscape home screen. Once you have found the place you would like, selecting it will take you to the *""Location Details""* screen. On this screen, select the button called *""Save as Marker""*.","Markers are places that you have saved. They could be places that are discoverable within the app, or they could be entirely new places you have added yourself. You can save your current location as a marker by selecting the *""Use Current Location""* button on the home screen and then selecting *""Save as Marker""*. You can save other locations as a marker by searching for the place you would like to save using the search bar, or finding somewhere using the *""Places Nearby""* button, both of which can be found on the Soundscape home screen. Once you have found the place you would like, selecting it will take you to the *""Location Details""* screen. On this screen, select the button called *""Save as Marker""*.",,False,faq_markers_function_answer,,"' Marker - A location that has been marked as important by the user or application. This can be an address, a business or a custom place such as an entrance, a bus stop or a bench. 'The list' is referring to the list of places that appears when you add a new Marker. Quotes written as \"" '"
,How do I get the best out of Soundscape?,How do I get the best out of Soundscape?,,False,faq_section_getting_the_best_experience,,"' Soundscape - The app that explores the use of innovative audio-based technology to enable people, particularly those with blindness or low vision, to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around by using 3D audio cues to enrich ambient awareness and provide a new way to relate to the environment. '"
,What can I set as a beacon?,What can I set as a beacon?,,False,faq_what_can_I_set_question,,' A 'beacon' is an audio signal that helps fix the position of a location - the audio signal is played from the direction of a location which helps navigating towards that direction. '
,"You can set an audio beacon on any business, place, point of interest, address, or intersection. There are a few ways you can add a beacon at a location. First, view the details for a location by either using the search bar to search for a place, or tapping one of the *""Places Nearby""*, *""Saved Markers""*, or *""Current Location""* buttons and selecting a location. From the *""Location Details""* screen you can select the *""Start Audio Beacon""* button. Tapping this will return you to the home screen and turn on an audible beacon coming from the direction of the place you selected. The name of the place you have selected along with its distance and physical address, if available, will now be displayed on the main app screen.","You can set an audio beacon on any business, place, point of interest, address, or intersection. There are a few ways you can add a beacon at a location. First, view the details for a location by either using the search bar to search for a place, or tapping one of the *""Places Nearby""*, *""Saved Markers""*, or *""Current Location""* buttons and selecting a location. From the *""Location Details""* screen you can select the *""Start Audio Beacon""* button. Tapping this will return you to the home screen and turn on an audible beacon coming from the direction of the place you selected. The name of the place you have selected along with its distance and physical address, if available, will now be displayed on the main app screen.",,False,faq_what_can_I_set_answer,,"' An 'audio beacon' is an audio signal that helps fix the position of a location - the audio signal is played from the direction of a location which helps navigating towards that direction. Intersection - A junction where two or more roads meet or cross., Marker - A location that has been marked as important by the user or application. This can be an address, a business or a custom place such as an entrance, a bus stop or a bench. Point of interest - A specific location that someone may find useful or interesting. Quotation marks are written as \"" '"
,How do I use a beacon like a pro?,How do I use a beacon like a pro?,,False,faq_how_to_use_beacon_question,,' A 'beacon' is an audio signal that helps fix the position of a location - the audio signal is played from the direction of a location which helps navigating towards that direction. '
,"You can think of the audible beacon as a *""lighthouse for the ears""*, notifying you of where your destination is relative to your location, as the crow flies. Like a lighthouse, it does not tell you how to get there – you may need to make many navigation choices along the way, just as a sailboat will have to make many strategic *""tacks""* to get closer to the lighthouse. The continuous rhythmic sound of the audible beacon is spatialized from the direction of the destination, and helps you stay aware of the location of the destination relative to you as you walk. When you are walking directly toward the destination, or you point the phone toward the destination, a higher pitched *""ring""* sound will be heard. This feature allows you to pinpoint the direction of the destination since the direction of the rhythmic sound can sometimes be difficult to perceive in loud environments. When searching for the higher pitched *""ring""*, hold the phone flat and sweep the phone slowly; turning your head to point in the same direction of the phone will ensure that you have the best spatial audio experience.

The lighthouse metaphor for the beacon’s design has several natural implications:

1. There is no *""correct""* direction to travel when using the beacon, instead, with Soundscape you choose how to get there;

2. The higher pitched *""ring""* helps you pinpoint the direction of the destination only – it is not an indication of how you should get there;

3. If you generally know how to get to your destination, you may wish to mute the beacon for the majority of your trip and turn it on only as you get closer to your destination.","You can think of the audible beacon as a *""lighthouse for the ears""*, notifying you of where your destination is relative to your location, as the crow flies. Like a lighthouse, it does not tell you how to get there – you may need to make many navigation choices along the way, just as a sailboat will have to make many strategic *""tacks""* to get closer to the lighthouse. The continuous rhythmic sound of the audible beacon is spatialized from the direction of the destination, and helps you stay aware of the location of the destination relative to you as you walk. When you are walking directly toward the destination, or you point the phone toward the destination, a higher pitched *""ring""* sound will be heard. This feature allows you to pinpoint the direction of the destination since the direction of the rhythmic sound can sometimes be difficult to perceive in loud environments. When searching for the higher pitched *""ring""*, hold the phone flat and sweep the phone slowly; turning your head to point in the same direction of the phone will ensure that you have the best spatial audio experience.

The lighthouse metaphor for the beacon’s design has several natural implications:

1. There is no *""correct""* direction to travel when using the beacon, instead, with Soundscape you choose how to get there;

2. The higher pitched *""ring""* helps you pinpoint the direction of the destination only – it is not an indication of how you should get there;

3. If you generally know how to get to your destination, you may wish to mute the beacon for the majority of your trip and turn it on only as you get closer to your destination.",,False,faq_how_to_use_beacon_answer,,"' A 'beacon' is an audio signal that helps fix the position of a location - the audio signal is played from the direction of a location which helps navigating towards that direction. 'As the crow flies' is as expression which means roughly 'in a straight line'.'Spatilized' is referring to 'spatial audio' or '3D audio' which is where the audio through your headphones sounds as though it is coming from a given direction, as if it was actually coming from a speaker. 'Sweep the phone' is referring to rotating the phone around to point it in different directions. Soundscape - The app that explores the use of innovative audio-based technology to enable people, particularly those with blindness or low vision, to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around by using 3D audio cues to enrich ambient awareness and provide a new way to relate to the environment. Quotes written as \"" '"
,Why does the audible beacon disappear sometimes?,Why does the audible beacon disappear sometimes?,,False,faq_why_does_beacon_disappear_question,,' A 'beacon' is an audio signal that helps fix the position of a location - the audio signal is played from the direction of a location which helps navigating towards that direction. '
,"Soundscape’s audible beacon is fundamentally a directional cue, telling you where your destination is relative to the direction you are facing. When Soundscape is uncertain about what direction you are facing, it lowers the volume of the beacon. Most often this occurs if you have been walking with the phone stored in a pocket or bag, and you stop moving, such as to cross a street. The beacon will get louder once you start moving again, or if you hold the phone flat and point it in the direction you are facing.","Soundscape’s audible beacon is fundamentally a directional cue, telling you where your destination is relative to the direction you are facing. When Soundscape is uncertain about what direction you are facing, it lowers the volume of the beacon. Most often this occurs if you have been walking with the phone stored in a pocket or bag, and you stop moving, such as to cross a street. The beacon will get louder once you start moving again, or if you hold the phone flat and point it in the direction you are facing.",,False,faq_why_does_beacon_disappear_answer,,"' A 'beacon' is an audio signal that helps fix the position of a location - the audio signal is played from the direction of a location which helps navigating towards that direction. Soundscape - The app that explores the use of innovative audio-based technology to enable people, particularly those with blindness or low vision, to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around by using 3D audio cues to enrich ambient awareness and provide a new way to relate to the environment. '"
,Can I set a beacon on an address?,Can I set a beacon on an address?,,False,faq_beacon_on_address_question,,' A 'beacon' is an audio signal that helps fix the position of a location - the audio signal is played from the direction of a location which helps navigating towards that direction. '
